title,genre
No One Lives,Crime
Horsemen (2009),Fantasy
Horsemen (2009),War
The Lincoln Lawyer,Animation
The Little Things,Thriller
Batman v Superman: Dawn of Justice,Adventure
Alex Cross,Sci-Fi
Alex Cross,Mystery
Blue Beetle,Action
Blue Beetle,War
Blue Beetle,Romance
Jailer,Sci-Fi
Jailer,Mystery
Jailer,Mystery
Transformers: Age Of Extinction,Romance
King Richard,Animation
King Richard,Fantasy
King Richard,Action
Son of Bigfoot,Adventure
DIVINE INTERVENTION,Horror
Wild Target,Thriller
Coraline,Sci-Fi
Coraline,Adventure
The Flash,Children
The Flash,Comedy
Moneyball,Romance
Storm Warning,Fantasy
Storm Warning,Sci-Fi
Storm Warning,Horror
Miles and Lies,Animation
Miles and Lies,Mystery
Picture This,Children
Scooby-Doo 2: Monsters Unleashed,Mystery
Fled,Adventure
Gran Turismo: Based on a True Story - Bonus X-Ray Edition,Romance
Gran Turismo: Based on a True Story - Bonus X-Ray Edition,Animation
Candyman,Children
Candyman,Children
Candyman,Thriller
Monster High 2,Action
Pixels,Adventure
Skin: A History of Nudity in the Movies,Animation
Dr. No,Comedy
Dr. No,Action
Hoodlum,Adventure
Miles and Lies,Romance
Beetlejuice,Fantasy
Beetlejuice,Mystery
After.Life,Horror
After.Life,Action
Jailer,Action
Jailer,Action
A Quiet Place Part II,Mystery
A Quiet Place Part II,Animation
A Quiet Place Part II,Animation
Quest for Fire,Fantasy
Quest for Fire,Mystery
Braven,Comedy
Braven,Horror
Widows,Adventure
Widows,Animation
Widows,Romance
The Sisterhood of the Traveling Pants,Mystery
The Sisterhood of the Traveling Pants,Sci-Fi
The Sisterhood of the Traveling Pants,War
jackass forever,Children
jackass forever,Mystery
jackass forever,Comedy
Saw IV,Sci-Fi
Saw IV,War
Saw IV,Horror
Contraband,Action
Contraband,Romance
A-X-L,Action
A-X-L,Mystery
My Big Fat Greek Wedding 3,Action
My Big Fat Greek Wedding 3,Animation
Nacho Libre,Horror
Batman v Superman: Dawn Of Justice Ultimate Edition,Comedy
Batman v Superman: Dawn Of Justice Ultimate Edition,Animation
The Super,Comedy
The Super,Comedy
The Super,Thriller
Killers,War
Dear Zoe,Romance
Insidious: The Red Door,Thriller
Insidious: The Red Door,War
Insidious: The Red Door,Horror
Deep Blue Sea,Fantasy
Kick-Ass 2,Children
The Ranch,Animation
The Ranch,Horror
The Ranch,Sci-Fi
The Day After Tomorrow,Comedy
The Day After Tomorrow,Comedy
The Ride,Animation
The Ride,Drama
The Infiltrator,Crime
The Infiltrator,Romance
The Infiltrator,Drama
Friday,Drama
A-X-L,Animation
A-X-L,Sci-Fi
A-X-L,Adventure
Dr. No,Comedy
Dr. No,Children
Coneheads,Comedy
Coneheads,Children
Coneheads,Children
Coneheads,Action
The Ride,War
The Infiltrator,Thriller
Scream,Adventure
Pretty Crazy,Crime
Pretty Crazy,Thriller
Pretty Crazy,Thriller
Red Eye,Mystery
Texas Killing Fields,Drama
Suicide Squad (Extended Cut),Children
Suicide Squad (Extended Cut),Romance
Remember Me,Fantasy
Remember Me,Horror
Remember Me,Thriller
Come Play,Romance
Come Play,Crime
My Spy,Drama
Finding You,Horror
Finding You,Sci-Fi
Finding You,Crime
Maya The Bee,Children
Spider-Man: Across The Spider-Verse - Bonus X-Ray Edition,Animation
Spider-Man: Across The Spider-Verse - Bonus X-Ray Edition,Thriller
Spider-Man: Across The Spider-Verse - Bonus X-Ray Edition,Romance
Medusa's Mystery,Comedy
Daisies In December,Animation
Daisies In December,Animation
Last Night in Soho,Comedy
Last Night in Soho,Romance
Last Night in Soho,Drama
13 Hours,Adventure
13 Hours,Romance
13 Hours,Crime
Killer Klowns from Outer Space,Romance
Killer Klowns from Outer Space,Children
The Chronicles of Riddick,Crime
The Chronicles of Riddick,Drama
The Chronicles of Riddick,Action
October Sky,War
October Sky,Thriller
Casino Royale,Adventure
Casino Royale,Fantasy
Daisies In December,Horror
Daisies In December,Romance
Daisies In December,Fantasy
Mean Girls,Thriller
Mean Girls,Romance
Transporter 3,Animation
Transporter 3,Crime
Transporter 3,Children
Land,Thriller
Land,Thriller
Left Behind,Drama
Left Behind,Comedy
Left Behind,Fantasy
Medusa's Mystery,Children
Skyfall,Comedy
Wrath of Becky,Comedy
Wrath of Becky,Crime
Wrath of Becky,Comedy
Woman in Gold,Drama
Woman in Gold,Thriller
Woman in Gold,Fantasy
The Punisher,War
The Punisher,Romance
The Punisher,Action
Igor,Drama
Igor,Romance
Igor,Comedy
Drag Me To Hell,Adventure
Summer Rental,Action
Kung Food,War
Charlotte's Web,Romance
Charlotte's Web,Action
Chaos,Comedy
Rise of the Planet of the Apes,Sci-Fi
Rise of the Planet of the Apes,Animation
The Mask,Fantasy
The Cutting Edge: Chasing The Dream,Children
Before We Go,War
Before We Go,Children
Maleficent (Theatrical),Drama
Maleficent (Theatrical),Adventure
Maleficent (Theatrical),Children
Case 39,Adventure
Rumble,Thriller
Rumble,Action
Rumble,Drama
Get Close,Adventure
Get Close,Animation
Get Close,Adventure
Promising Young Woman,Animation
Promising Young Woman,Crime
Deadfall,Drama
October Sky,Animation
October Sky,Animation
October Sky,Thriller
Rumble,Mystery
Rumble,Sci-Fi
Rumble,Animation
Get Close,Children
Promising Young Woman,Action
Case 39,Fantasy
The Gambler,Romance
The Gambler,Adventure
Just Getting Started,Romance
Just Getting Started,Thriller
Just Getting Started,Animation
Daniel Tiger's Neighborhood: Tiger Family Trip,Action
Saving Christmas Spirit,Children
Saving Christmas Spirit,Romance
Valerian and the City of a Thousand Planets,Sci-Fi
Valerian and the City of a Thousand Planets,Adventure
Valerian and the City of a Thousand Planets,Drama
Riding The Bullet,War
Aurora Teagarden Mysteries: Haunted By Murder,Thriller
The Shape of Water,Comedy
The Shape of Water,Children
The Other End of the Line,Action
The Other End of the Line,Comedy
The Other End of the Line,Horror
J.D.'s Revenge,War
J.D.'s Revenge,Horror
J.D.'s Revenge,Children
Steve and Maggie - Spooktacular Special (Vol. 14),Horror
Steve and Maggie - Spooktacular Special (Vol. 14),Adventure
Steve and Maggie - Spooktacular Special (Vol. 14),Thriller
Doubting Thomas,Action
PAW Patrol: Moto Pups,Thriller
The Name of the Rose,Crime
The SpongeBob SquarePants Movie,War
The SpongeBob SquarePants Movie,Adventure
Woman in Gold,Horror
Let Him Go,Horror
Let Him Go,Thriller
Let Him Go,Adventure
The Finest Hour,Adventure
The Finest Hour,Action
Little Italy,Thriller
"Yours, Mine & Ours",Children
Domestic Disturbance,Fantasy
Sid is Dead,Horror
The Little Vampire,Horror
Hot Tub Time Machine 2,Adventure
Harry Potter and the Sorcerer's Stone,Action
Harry Potter and the Sorcerer's Stone,War
Monster High The Movie,Thriller
Monster High The Movie,Action
Monster High The Movie,Action
Overlord,Comedy
Overlord,Sci-Fi
Overlord,Comedy
Overlord,Crime
Overlord,Animation
Monster Family,Thriller
Monster Family,Mystery
Dracula,Thriller
Dracula,Romance
A Royal In Paradise,Comedy
A Royal In Paradise,Children
The Little Vampire,Comedy
The Little Vampire,Romance
The Little Vampire,Children
Where the Buffalo Roam,Romance
Where the Buffalo Roam,Sci-Fi
Where the Buffalo Roam,Children
Quantum of Solace,Mystery
Quantum of Solace,Action
Cop Shop,Animation
Jurassic World,Romance
Saw V,Fantasy
Saw V,War
Saw V,Mystery
A Haunted House,Sci-Fi
A Haunted House,War
A Haunted House,Sci-Fi
Jesse Stone: No Remorse,Romance
White Boy Rick,War
White Boy Rick,Romance
Interstellar,Mystery
Interstellar,Children
Interstellar,Mystery
Honest Thief,Crime
Honest Thief,Children
Honest Thief,Mystery
Tulsa,Action
Alexandria,Crime
Alexandria,Adventure
Alexandria,War
The Girl with All the Gifts,Fantasy
The Girl with All the Gifts,War
The Girl with All the Gifts,Sci-Fi
Honest Thief,Action
Honest Thief,Crime
Break Every Chain,Adventure
Break Every Chain,Children
Break Every Chain,Comedy
Jack Reacher,Comedy
Jack Reacher,Adventure
The Fog (1980),Sci-Fi
The Fog (1980),Action
The Fog (1980),Children
She's Out of My League,Comedy
She's Out of My League,Horror
She's Out of My League,Sci-Fi
High Ground,Romance
High Ground,Thriller
The SpongeBob Movie: Sponge on the Run,Thriller
The SpongeBob Movie: Sponge on the Run,War
The Murders in the Rue Morgue,Animation
The Murders in the Rue Morgue,War
Tulsa,Mystery
Tulsa,War
The Super Mario Bros. Movie (Blu-Ray + DVD + Digital),Drama
The Super Mario Bros. Movie (Blu-Ray + DVD + Digital),Sci-Fi
"PAW Patrol: Ready, Race, Rescue",Sci-Fi
Dirty Dancing,Romance
Dirty Dancing,Children
Dirty Dancing,Romance
The Crucifixion,Action
Robocop (2014),Comedy
Scary Stories to Tell in the Dark,Fantasy
Interstellar,Drama
Where the Buffalo Roam,Crime
Where the Buffalo Roam,Romance
Where the Buffalo Roam,Sci-Fi
Luce,Crime
Luce,Fantasy
Luce,Adventure
Jesse Stone: Thin Ice,Thriller
Jesse Stone: Thin Ice,Horror
The Addams Family,Romance
The Addams Family,Crime
Danger Close,Horror
A Princess for Christmas,Mystery
A Princess for Christmas,Children
A Princess for Christmas,Thriller
So Undercover,War
So Undercover,Fantasy
So Undercover,Action
Anne & Mary Boleyn - A Tale of Two Sisters,Adventure
Anne & Mary Boleyn - A Tale of Two Sisters,Children
The Big Lebowski,Drama
Punisher: War Zone,Fantasy
Punisher: War Zone,Fantasy
Saw 5 (Unrated),Animation
Saw 5 (Unrated),Crime
Saw 5 (Unrated),Fantasy
Radio Rebel,Adventure
Radio Rebel,Adventure
Janky Promoters,Fantasy
Janky Promoters,Comedy
Janky Promoters,Sci-Fi
Ghostbusters: Afterlife,Comedy
Ghostbusters: Afterlife,Horror
Ghostbusters: Afterlife,Children
Daylight's End,Children
Wish You Well,War
Jesse Stone: Innocents Lost,Crime
Satyaprem Ki Katha,Fantasy
A Better Life,Fantasy
A Better Life,War
A Better Life,Animation
Sonic the Hedgehog,Adventure
Sonic the Hedgehog,Sci-Fi
Sonic the Hedgehog,Thriller
Orphan: First Kill,Sci-Fi
Orphan: First Kill,Animation
Orphan: First Kill,Fantasy
Point Break,Mystery
Point Break,Fantasy
Identity Thief,Horror
Identity Thief,Action
Venom: Let There Be Carnage,Adventure
Venom: Let There Be Carnage,Action
Venom: Let There Be Carnage,Horror
Bad Boys for Life,Sci-Fi
The Commuter,Comedy
The Commuter,Comedy
Unfriended: Dark Web,Animation
Dr. Seuss' Cat In The Hat,Horror
Dr. Seuss' Cat In The Hat,Action
Dr. Seuss' Cat In The Hat,Comedy
The Voices,Children
Captive State,Sci-Fi
Captive State,Fantasy
She's The Man,Sci-Fi
She's The Man,Crime
Gotti,Children
Gotti,Crime
Gotti,Thriller
Oculus,Romance
Blacktop,Mystery
Blacktop,Adventure
Blacktop,Horror
News of the World,Animation
News of the World,Children
Robert the Bruce,Thriller
Robert the Bruce,Horror
Robert the Bruce,Adventure
The Last Witch Hunter,Mystery
The Last Witch Hunter,Drama
Mrs. Harris Goes to Paris,Animation
The Possession Of Hannah Grace,Mystery
The Possession Of Hannah Grace,Horror
The Possession Of Hannah Grace,Children
3 Days to Kill,Mystery
Women Talking,Comedy
Women Talking,Crime
The Contractor,Action
The Contractor,Crime
The Contractor,Drama
Elsa & Fred,Thriller
Elsa & Fred,Horror
Shooter,Fantasy
Shooter,Animation
Shooter,Drama
Snake Eyes: G.I. Joe Origins,Horror
Snake Eyes: G.I. Joe Origins,Action
Snake Eyes: G.I. Joe Origins,Crime
Bedurulanka 2012,Animation
Bedurulanka 2012,Drama
Bedurulanka 2012,Crime
Drumline,Animation
Drumline,Action
Drumline,Children
Halloween,Crime
Halloween,Sci-Fi
Warrior,Thriller
A Rainy Day in New York,Comedy
Scary Stories to Tell in the Dark,Thriller
Honor Society,Mystery
Honor Society,Sci-Fi
Is Genesis History?,Animation
2001: A Space Odyssey,Children
Win a Date with Tad Hamilton!,Action
Win a Date with Tad Hamilton!,Thriller
Win a Date with Tad Hamilton!,Horror
Inglourious Basterds,Children
Inglourious Basterds,Comedy
Joe Bell,Drama
Joe Bell,Thriller
Superhero Movie,Children
Blacktop,Sci-Fi
Blacktop,Crime
Blacktop,Drama
A Turtle's Tale: Sammy's Adventures,Romance
Sixteen Candles,Sci-Fi
Stealth,Fantasy
Stealth,Action
Stealth,Sci-Fi
Daddy's Home,Drama
Jeepers Creepers 2,Romance
Jeepers Creepers 2,Children
Is Genesis History?,War
Is Genesis History?,Comedy
SAW 6 (Unrated),Adventure
Guns Akimbo,Horror
Guns Akimbo,Sci-Fi
2001: A Space Odyssey,Crime
2001: A Space Odyssey,Comedy
2001: A Space Odyssey,Mystery
Fear the Night,Action
Fear the Night,Comedy
Fear the Night,Sci-Fi
A Turtle's Tale: Sammy's Adventures,Thriller
A Turtle's Tale: Sammy's Adventures,Sci-Fi
Secret Window,Thriller
The Legend of Sleepy Hollow,Children
The Legend of Sleepy Hollow,Crime
The Legend of Sleepy Hollow,Animation
Burnt,Fantasy
Burnt,Mystery
Stealth,Mystery
Stealth,Fantasy
Stealth,Mystery
Stephen King's A Good Marriage,Children
Stephen King's A Good Marriage,Animation
El Dorado,Thriller
El Dorado,Animation
The Wolf Man (1941),Sci-Fi
The Wolf Man (1941),Crime
The Wrong Mother,Romance
The Longest Yard (2005),Sci-Fi
The Longest Yard (2005),Adventure
The Longest Yard (2005),Fantasy
Win a Date with Tad Hamilton!,Drama
Win a Date with Tad Hamilton!,Adventure
Win a Date with Tad Hamilton!,Thriller
Snowpiercer,Romance
Snowpiercer,Horror
Snowpiercer,Romance
Mystery of the 13th Guest,Sci-Fi
Mystery of the 13th Guest,Drama
Mystery of the 13th Guest,Horror
Illumination Presents: Dr. Seuss' The Grinch,Drama
Illumination Presents: Dr. Seuss' The Grinch,Drama
Seven Days In Utopia,Comedy
Seven Days In Utopia,Thriller
Seven Days In Utopia,Crime
The System,Horror
The System,War
The System,Mystery
Saw VI,Children
Saw VI,Sci-Fi
She Said,Action
She Said,Horror
She Said,Crime
PAW Patrol: Jet to the Rescue,Sci-Fi
PAW Patrol: Jet to the Rescue,Romance
PAW Patrol: Jet to the Rescue,Fantasy
The Violent Heart,Romance
Kandahar (2023),Mystery
Plus One At an Amish Wedding,Sci-Fi
Plus One At an Amish Wedding,Children
Plus One At an Amish Wedding,Crime
Fast X - Bonus X-Ray Edition,Mystery
The Whale,Romance
The Whale,Thriller
The Whale,Adventure
Plane,Crime
Tucker & Dale vs Evil,Sci-Fi
Friends till death,Adventure
Friends till death,Drama
Homefront,Children
I Can Only Imagine,Thriller
I Can Only Imagine,Thriller
I Can Only Imagine,Horror
The House Next Door: Meet the Blacks 2,Drama
Crown Vic,Romance
I Want You Back,Adventure
I Want You Back,Animation
I Want You Back,Adventure
Quigley Down Under,Drama
Quigley Down Under,Fantasy
South Beach Love,Children
South Beach Love,Thriller
Megan Leavey,Children
Nerve,Comedy
Nerve,Sci-Fi
The Back Up Plan,Comedy
IN YOUR DREAMS,Comedy
IN YOUR DREAMS,Sci-Fi
Daddy's Home 2,Adventure
Daddy's Home 2,Action
Hansel & Gretel: Witch Hunters,Thriller
Hansel & Gretel: Witch Hunters,Thriller
Hansel & Gretel: Witch Hunters,Crime
Death in Texas,War
Lord of War,War
The Meg,Romance
The Meg,Comedy
The Meg,Horror
Children Of Men,Animation
Daddy's Home 2,Romance
Daddy's Home 2,Drama
Daddy's Home 2,Drama
New York Minute,Comedy
New York Minute,Thriller
New York Minute,Drama
"Hailey Dean Mysteries: Murder, with Love",Mystery
"Hailey Dean Mysteries: Murder, with Love",Comedy
And So It Goes,Action
And So It Goes,Horror
And So It Goes,Comedy
MORGAN,War
MORGAN,Sci-Fi
Lila and Eve,Mystery
Lila and Eve,Romance
Lila and Eve,Drama
Crown Vic,Crime
Meet The Blacks,War
Season Of Fear,War
Jurassic Park,Children
Jurassic Park,Animation
Jurassic Park,Sci-Fi
Dances with Wolves,Sci-Fi
Dances with Wolves,Romance
Dances with Wolves,Children
Mystery 101: Pilot,Animation
Mystery 101: Pilot,Mystery
Mystery 101: Pilot,Drama
Step Up,Mystery
Lord of War,Sci-Fi
Lord of War,Thriller
Jumanji: The Next Level,Fantasy
Jumanji: The Next Level,Sci-Fi
Jumanji: The Next Level,Comedy
And So It Goes,Comedy
And So It Goes,Comedy
Joy Ride,Animation
Sapta Sagaradaache Ello - Side A,Action
Hall Pass (2011),Comedy
Spirit: Stallion of the Cimarron,Horror
Spirit: Stallion of the Cimarron,Animation
Beastly,War
Lila and Eve,Mystery
Lila and Eve,Action
All Nighter,Action
MORGAN,War
Season Of Fear,Romance
K-19: The Widowmaker,Fantasy
K-19: The Widowmaker,Drama
The Mummy (1932),Children
The Mummy (1932),Sci-Fi
The Mummy (1932),War
Tracks,War
Inglourious Basterds,Action
Wicker Park,Children
Wicker Park,Sci-Fi
Sapta Sagaradaache Ello - Side A,War
Escape from Pretoria,Horror
The Silencing,Action
The Silencing,Crime
The Silencing,Horror
Get The Gringo,Romance
Get The Gringo,Romance
Get The Gringo,Animation
Death and Back 1,Action
Death and Back 1,Horror
Legally Blonde,Romance
Legally Blonde,Romance
Legally Blonde,Crime
The Last Witch Hunter,War
The Last Witch Hunter,Romance
The Last Witch Hunter,Adventure
Scouts Guide to the Zombie Apocalypse,Comedy
Scouts Guide to the Zombie Apocalypse,Horror
Scouts Guide to the Zombie Apocalypse,Sci-Fi
Desperado,War
Desperado,Horror
Desperado,Comedy
Blippi - Explore With Blippi and Learn About Vehicles,Thriller
Blippi - Explore With Blippi and Learn About Vehicles,War
Blippi - Explore With Blippi and Learn About Vehicles,War
Apocalypto,War
Hell House LLC,Mystery
The Wolf of Wall Street,Crime
The Secret Life of the Cruise,Fantasy
The Secret Life of the Cruise,Fantasy
Spider-Man: No Way Home,Horror
Alpha,Sci-Fi
Alpha,Action
The Wolf of Wall Street,Romance
The Wolf of Wall Street,Crime
The Secret Life of the Cruise,Sci-Fi
The Secret Life of the Cruise,Action
The Secret Life of the Cruise,Animation
Young Guns,Horror
American Renegades,War
